22___,8___,11/11/2020 H 19:40,730/38__,raqueta2/pelota
22___,8___,11/11/2020 H 19:40,10/245__,raqueta1/pelota
22___,8___,11/11/2020 H 19:40,10/105__,raqueta1/pelota_verde
22___,8___,11/11/2020 H 19:40,10/345__,raqueta1/pelota
22___,8___,11/11/2020 H 19:40,730/227_,raqueta2/pelota
22___,8___,11/11/2020 H 19:40,10/125__,raqueta1/pelota_verde
22___,8___,11/11/2020 H 19:40,10/145__,raqueta1/pelota_roja
22___,8___,11/11/2020 H 19:40,10/-15__,raqueta1/pelota
22___,8___,11/11/2020 H 19:40,730/329_,raqueta2/pelota
22___,8___,11/11/2020 H 19:40,10/65___,raqueta1/pelota_verde
22___,8___,11/11/2020 H 19:40,730/212_,raqueta2/pelota_roja
22___,8___,11/11/2020 H 19:40,10/405__,raqueta1/pelota
22___,8___,11/11/2020 H 19:40,730/17__,raqueta2/pelota
22___,8___,11/11/2020 H 19:40,10/105__,raqueta1/pelota_verde
22___,8___,11/11/2020 H 19:40,10/145__,raqueta1/pelota
22___,8___,11/11/2020 H 19:40,730/407_,raqueta2/pelota
22___,8___,11/11/2020 H 19:40,10/345__,raqueta1/pelota_roja
22___,8___,11/11/2020 H 19:40,10/125__,raqueta1/pelota_verde
22___,8___,11/11/2020 H 19:40,730/383_,raqueta2/pelota
22___,8___,11/11/2020 H 19:40,730/383_,raqueta2/pelota
22___,8___,11/11/2020 H 19:40,10/305__,raqueta1/pelota
22___,8___,11/11/2020 H 19:40,730/233_,raqueta2/pelota_verde
22___,8___,11/11/2020 H 19:40,10/345__,raqueta1/pelota
22___,8___,11/11/2020 H 19:40,10/285__,raqueta1/pelota_roja
22___,8___,11/11/2020 H 19:40,10/385__,raqueta1/pelota_verde
22___,8___,11/11/2020 H 19:40,10/325__,raqueta1/pelota
22___,8___,11/11/2020 H 19:40,730/258_,raqueta2/pelota
22___,8___,11/11/2020 H 19:40,730/226_,raqueta2/pelota_roja
22___,8___,11/11/2020 H 19:40,10/25___,raqueta1/pelota
22___,8___,11/11/2020 H 19:43,730/415_,raqueta2/pelota
22___,8___,11/11/2020 H 19:43,730/415_,raqueta2/pelota
22___,8___,11/11/2020 H 19:43,730/395_,raqueta2/pelota_verde
22___,8___,11/11/2020 H 19:43,10/325__,raqueta1/pelota
22___,8___,11/11/2020 H 19:43,10/305__,raqueta1/pelota_verde
22___,8___,11/11/2020 H 19:43,10/125__,raqueta1/pelota_roja
22___,8___,11/11/2020 H 19:43,730/38__,raqueta2/pelota
22___,8___,11/11/2020 H 19:43,10/265__,raqueta1/pelota
22___,8___,11/11/2020 H 19:43,10/85___,raqueta1/pelota_verde
22___,8___,11/11/2020 H 19:43,10/325__,raqueta1/pelota
22___,8___,11/11/2020 H 19:43,730/227_,raqueta2/pelota
22___,8___,11/11/2020 H 19:43,10/105__,raqueta1/pelota_verde
22___,8___,11/11/2020 H 19:43,10/105__,raqueta1/pelota_roja
22___,8___,11/11/2020 H 19:43,10/-15__,raqueta1/pelota
22___,8___,11/11/2020 H 19:43,730/329_,raqueta2/pelota
22___,8___,11/11/2020 H 19:43,10/105__,raqueta1/pelota_verde
22___,8___,11/11/2020 H 19:43,730/212_,raqueta2/pelota_roja
22___,8___,11/11/2020 H 19:45,730/415_,raqueta2/pelota
22___,8___,11/11/2020 H 19:45,730/415_,raqueta2/pelota
22___,8___,11/11/2020 H 19:45,730/395_,raqueta2/pelota_verde
22___,8___,11/11/2020 H 19:45,10/265__,raqueta1/pelota
22___,8___,11/11/2020 H 19:45,10/265__,raqueta1/pelota_verde
22___,8___,11/11/2020 H 19:45,10/105__,raqueta1/pelota_roja
22___,8___,11/11/2020 H 19:45,730/38__,raqueta2/pelota
22___,8___,11/11/2020 H 19:45,10/105__,raqueta1/pelota_verde
22___,8___,11/11/2020 H 19:45,730/258_,raqueta2/pelota_roja
22___,8___,11/11/2020 H 19:45,10/305__,raqueta1/pelota
22___,8___,11/11/2020 H 19:45,730/219_,raqueta2/pelota
22___,8___,11/11/2020 H 19:45,10/105__,raqueta1/pelota_verde
22___,8___,11/11/2020 H 19:45,10/5____,raqueta1/pelota
22___,8___,11/11/2020 H 19:45,730/295_,raqueta2/pelota
22___,8___,11/11/2020 H 19:45,10/345__,raqueta1/pelota_roja
22___,8___,11/11/2020 H 19:45,10/465__,raqueta1/pelota
22___,8___,11/11/2020 H 19:45,730/74__,raqueta2/pelota
22___,8___,11/11/2020 H 19:45,10/125__,raqueta1/pelota_verde
22___,8___,11/11/2020 H 19:45,10/65___,raqueta1/pelota
22___,8___,11/11/2020 H 19:45,730/424_,raqueta2/pelota
22___,8___,11/11/2020 H 19:45,10/105__,raqueta1/pelota
22___,8___,11/11/2020 H 19:45,10/125__,raqueta1/pelota_verde
22___,8___,11/11/2020 H 19:45,730/228_,raqueta2/pelota
22___,8___,11/11/2020 H 19:45,730/228_,raqueta2/pelota_verde
22___,8___,11/11/2020 H 19:45,10/345__,raqueta1/pelota
22___,8___,11/11/2020 H 19:45,10/365__,raqueta1/pelota_verde
22___,8___,11/11/2020 H 19:45,10/365__,raqueta1/pelota
22___,8___,11/11/2020 H 19:45,10/145__,raqueta1/pelota_roja
22___,8___,11/11/2020 H 19:45,730/259_,raqueta2/pelota
22___,8___,11/11/2020 H 19:45,10/345__,raqueta1/pelota_verde
22___,8___,11/11/2020 H 19:45,730/397_,raqueta2/pelota
22___,8___,11/11/2020 H 19:45,730/261_,raqueta2/pelota_roja
22___,8___,11/11/2020 H 19:45,730/244_,raqueta2/pelota_roja
22___,8___,11/11/2020 H 19:45,730/227_,raqueta2/pelota_roja
22___,8___,11/11/2020 H 19:45,730/227_,raqueta2/pelota_roja
22___,8___,11/11/2020 H 19:45,730/227_,raqueta2/pelota_roja
22___,8___,11/11/2020 H 19:45,730/227_,raqueta2/pelota_roja
